iter	Passed	Remaining
0	81	81071
1	82	41377
2	86	28760
3	88	22059
4	90	18037
5	94	15615
6	96	13635
7	98	12166
8	100	11033
9	101	10082
10	103	9327
11	105	8707
12	107	8161
13	109	7679
14	110	7246
15	114	7013
16	115	6703
17	117	6412
18	119	6174
19	121	5953
20	123	5743
21	125	5571
22	129	5498
23	131	5350
24	134	5241
25	136	5103
26	137	4965
27	139	4843
28	145	4862
29	147	4769
30	149	4685
31	151	4585
32	153	4494
33	155	4408
34	160	4426
35	163	4368
36	166	4333
37	168	4274
38	172	4254
39	175	4202
40	177	4144
41	182	4172
42	186	4144
43	192	4186
44	195	4141
45	197	4100
46	199	4052
47	201	4002
48	204	3959
49	205	3903
50	206	3849
51	208	3799
52	209	3749
53	211	3701
54	217	3736
55	219	3698
56	220	3654
57	222	3609
58	223	3564
59	224	3521
60	226	3480
61	227	3439
62	230	3423
63	231	3391
64	233	3357
65	234	3319
66	235	3282
67	236	3246
68	238	3211
69	239	3176
70	240	3144
71	241	3113
72	242	3084
73	244	3062
74	245	3032
75	247	3003
76	248	2975
77	249	2950
78	251	2931
79	252	2906
80	254	2883
81	255	2860
82	256	2830
83	259	2824
84	260	2803
85	261	2782
86	263	2762
87	264	2742
88	265	2722
89	267	2702
90	268	2685
91	270	2667
92	271	2646
93	273	2635
94	274	2617
95	275	2598
96	277	2579
97	278	2560
98	279	2543
99	280	2528
100	282	2510
101	283	2493
102	284	2476
103	285	2458
104	286	2441
105	288	2435
106	289	2419
107	290	2403
108	292	2387
109	293	2372
110	294	2356
111	295	2343
112	297	2332
113	298	2320
114	299	2307
115	301	2293
116	303	2291
117	305	2279
118	306	2268
119	307	2256
120	309	2245
121	310	2231
122	311	2219
123	312	2208
124	313	2197
125	315	2187
126	316	2176
127	318	2171
128	320	2161
129	321	2151
130	322	2141
131	324	2131
132	325	2121
133	326	2112
134	328	2103
135	329	2094
136	330	2084
137	333	2084
138	335	2078
139	336	2069
140	338	2061
141	339	2051
142	341	2044
143	342	2035
144	343	2027
145	345	2018
146	347	2016
147	348	2008
148	350	1999
149	351	1990
150	352	1983
151	354	1975
152	355	1967
153	356	1959
154	358	1952
155	359	1945
156	360	1936
157	363	1939
158	365	1934
159	367	1926
160	367	1916
161	369	1913
162	371	1906
163	373	1903
164	375	1897
165	379	1906
166	381	1901
167	382	1896
168	384	1889
169	385	1883
170	386	1876
171	388	1868
172	389	1861
173	390	1853
174	392	1852
175	393	1844
176	395	1837
177	396	1829
178	397	1822
179	398	1815
180	399	1809
181	400	1802
182	402	1795
183	403	1788
184	404	1780
185	405	1773
186	407	1771
187	408	1764
188	409	1757
189	410	1751
190	411	1744
191	413	1738
192	414	1731
193	415	1724
194	416	1717
195	417	1711
196	418	1704
197	419	1698
198	420	1692
199	422	1690
200	423	1684
201	424	1678
202	426	1672
203	427	1666
204	428	1660
205	429	1654
206	430	1648
207	431	1643
208	432	1637
209	433	1631
210	434	1625
211	436	1624
212	438	1618
213	439	1613
214	440	1607
215	441	1602
216	442	1596
217	443	1590
218	444	1585
219	445	1579
220	446	1574
221	447	1569
222	449	1565
223	453	1571
224	455	1567
225	456	1563
226	458	1562
227	460	1560
228	470	1583
229	472	1581
230	473	1577
231	475	1572
232	476	1567
233	477	1563
234	478	1558
235	479	1553
236	482	1553
237	484	1549
238	485	1545
239	486	1540
240	487	1536
241	489	1532
242	491	1531
243	493	1530
244	496	1530
245	497	1526
246	499	1521
247	500	1516
248	501	1512
249	502	1507
250	503	1503
251	505	1499
252	506	1495
253	507	1490
254	508	1486
255	510	1482
256	511	1479
257	513	1476
258	514	1473
259	516	1469
260	517	1465
261	518	1461
262	519	1456
263	520	1452
264	521	1447
265	522	1442
266	525	1441
267	526	1437
268	527	1433
269	528	1429
270	530	1425
271	531	1421
272	532	1418
273	534	1414
274	535	1410
275	536	1406
276	537	1402
277	540	1404
278	542	1401
279	544	1398
280	545	1396
281	548	1395
282	549	1393
283	551	1389
284	552	1386
285	556	1389
286	558	1386
287	560	1385
288	562	1383
